Model,Threshold,Accuracy,Sensitivity,Specificity,Precision,F1,MCC
XGBoost,0.1,0.82,0.71,0.83,0.31,0.43,0.38
XGBoost,0.2,0.84,0.55,0.87,0.31,0.4,0.33
XGBoost,0.3,0.86,0.42,0.9,0.32,0.37,0.29
XGBoost,0.4,0.87,0.37,0.92,0.35,0.36,0.29
XGBoost,0.5,0.89,0.32,0.95,0.41,0.36,0.3
XGBoost,0.6,0.89,0.21,0.96,0.36,0.26,0.22
XGBoost,0.7,0.89,0.12,0.97,0.31,0.17,0.14
XGBoost,0.8,0.89,0.08,0.98,0.32,0.12,0.11
XGBoost,0.9,0.9,0.03,0.99,0.29,0.05,0.06
RandomForest,0.1,0.71,0.96,0.68,0.25,0.39,0.39
RandomForest,0.2,0.79,0.82,0.79,0.3,0.44,0.41
RandomForest,0.3,0.82,0.68,0.84,0.31,0.43,0.38
RandomForest,0.4,0.85,0.51,0.89,0.34,0.41,0.34
RandomForest,0.5,0.87,0.32,0.93,0.33,0.32,0.25
RandomForest,0.6,0.88,0.18,0.96,0.3,0.23,0.17
RandomForest,0.7,0.89,0.06,0.98,0.23,0.1,0.07
RandomForest,0.8,0.9,0.03,0.99,0.29,0.05,0.06
RandomForest,0.9,0.9,0.0,1.0,0.0,0.0,-0.02
CatBoost,0.1,0.8,0.79,0.8,0.31,0.44,0.41
CatBoost,0.2,0.84,0.72,0.86,0.35,0.47,0.43
CatBoost,0.3,0.86,0.58,0.89,0.36,0.44,0.38
CatBoost,0.4,0.87,0.46,0.92,0.38,0.42,0.35
CatBoost,0.5,0.88,0.29,0.94,0.35,0.32,0.25
CatBoost,0.6,0.89,0.24,0.96,0.38,0.3,0.25
CatBoost,0.7,0.89,0.14,0.97,0.31,0.19,0.16
CatBoost,0.8,0.89,0.06,0.98,0.31,0.11,0.1
CatBoost,0.9,0.9,0.01,1.0,0.25,0.02,0.04
LightGBM,0.1,0.83,0.73,0.84,0.33,0.46,0.41
LightGBM,0.2,0.86,0.54,0.89,0.35,0.43,0.36
LightGBM,0.3,0.87,0.46,0.92,0.38,0.42,0.35
LightGBM,0.4,0.88,0.31,0.94,0.38,0.34,0.28
LightGBM,0.5,0.88,0.21,0.95,0.31,0.25,0.19
LightGBM,0.6,0.89,0.15,0.97,0.32,0.21,0.17
LightGBM,0.7,0.89,0.13,0.97,0.32,0.18,0.15
LightGBM,0.8,0.89,0.08,0.98,0.33,0.12,0.12
LightGBM,0.9,0.89,0.01,0.99,0.11,0.02,0.0
Logistic Regression,0.1,0.54,0.99,0.49,0.17,0.3,0.29
Logistic Regression,0.2,0.69,0.97,0.66,0.24,0.38,0.38
Logistic Regression,0.3,0.76,0.88,0.74,0.27,0.42,0.4
Logistic Regression,0.4,0.78,0.83,0.77,0.28,0.42,0.39
Logistic Regression,0.5,0.79,0.81,0.78,0.29,0.43,0.39
Logistic Regression,0.6,0.81,0.77,0.81,0.3,0.44,0.4
Logistic Regression,0.7,0.84,0.63,0.86,0.33,0.43,0.37
Logistic Regression,0.8,0.88,0.47,0.92,0.39,0.43,0.36
Logistic Regression,0.9,0.91,0.24,0.98,0.61,0.35,0.35
